global_seed,timestamp,system_name,model_name,noise_level,library_strategy,optimizer,use_ensemble,threshold,active_curation_threshold,expansion_strategy,split_strategy,discovery_time_s,structural_complexity,canonical_complexity,train_r2,train_mse,test_r2,test_mse,new_traj_r2,new_traj_mse,sim_time_s,sim_r2,sim_mse,equations
33,2026-04-28 16:52:48,duffing,Standard SINDy,0.02,Separate,STLSQ,True,0.21,0.985,gentle,middle,0.4326059818267822,13,13,0.4448494071525981,0.07365292763884258,0.4699371753990519,0.08362661896779494,-127.43773290700254,15.720491107567256,1.3854446411132812,-20.79913155052618,3.4288127667782673,0.9705691004 x1 + 0.0305188720 1 sin(1 x1); -3.1816538393 x0^3 sin(1 x0) + 2.7405000025 x0^3 cos(1 x1)
33,2026-04-28 16:52:48,duffing,Standard PySR,0.02,Separate,STLSQ,True,0.21,0.985,gentle,middle,14.74027943611145,6,6,0.4779673472365915,0.06758101304759838,0.48506558769551905,0.08063498988327261,0.9412832034473577,0.007074312627736834,11.727182388305664,,,x0**18*x1**9 + x1; -x0**3 + x0
34,2026-04-28 16:53:30,duffing,AutoSINDy,0.02,Separate,STLSQ,True,0.21,0.985,gentle,middle,17.840307235717773,7,7,0.48221482376148983,0.06888640287277276,0.5460523976870021,0.06390697480921906,0.9999705333896343,3.5969282160415873e-06,0.9981527328491211,0.9928269817981236,0.0004622781387957237,0.9997901178 x1; 0.9983354448 x0 + -0.2948395961 x1 + -0.9973758836 x0**3
34,2026-04-28 16:53:30,duffing,Standard SINDy,0.02,Separate,STLSQ,True,0.21,0.985,gentle,middle,0.4659278392791748,4,4,0.23875078037116837,0.11539871032852336,0.28705583376300325,0.10935308482607525,0.4732310266813437,0.0644753297899859,1.024803638458252,-6.059692225905577,1.2423325173697235,1.0139714140 x1 + -0.0144253769 1 sin(1 x1); 0.0000000000
34,2026-04-28 16:53:30,duffing,Standard PySR,0.02,Separate,STLSQ,True,0.21,0.985,gentle,middle,15.525134086608887,4,4,0.47366723338272154,0.07051942083349788,0.5092826609962408,0.07034735988977515,0.9044433977903445,0.011137412953662315,2.832832098007202,-5.939098025952894,1.1948772622279777,-x1**9 + x1; -x0**3 + x0
35,2026-04-28 16:54:13,duffing,AutoSINDy,0.02,Separate,STLSQ,True,0.21,0.985,gentle,middle,17.833532094955444,7,7,0.49011428180537875,0.06632354995159748,0.47884475745631594,0.07932871820827296,0.9999871167553676,1.5561823317797343e-06,0.8878278732299805,0.9977918437208404,0.00013988416858815822,1.0013783309 x1; 1.0002381397 x0 + -0.2988867398 x1 + -0.9996663085 x0**3
35,2026-04-28 16:54:13,duffing,Standard SINDy,0.02,Separate,STLSQ,True,0.21,0.985,gentle,middle,0.4055600166320801,11,11,0.47829089982472045,0.06852990514210293,0.4483067000099668,0.08508997557192366,-176.28355453567735,21.69911037376657,0.7864515781402588,,,0.9588626569 x1 + 0.0432454796 1 sin(1 x1); 3.1643439465 x0^3 + -3.7192621785 x0^3 sin(1 x0)
35,2026-04-28 16:54:13,duffing,Standard PySR,0.02,Separate,STLSQ,True,0.21,0.985,gentle,middle,15.262722492218018,5,5,0.4811980688674278,0.0679875689177165,0.44572945214465237,0.08557552857820877,0.9505722926446495,0.006049809358190344,5.321712017059326,-8.420708532676533,0.5381104642822174,0.000206280575743152*x0**9 + x1; -x0**3 + x0
136,2026-04-28 18:30:38,duffing,AutoSINDy,0.02,Separate,STLSQ,True,0.21,0.985,gentle,middle,37.12097477912903,7,7,0.4849172260032652,0.06891703726251988,0.5375932809687292,0.06592678866403848,0.9999798518631908,2.4409317509915867e-06,0.7792520523071289,0.9978846832110322,0.00013430677757497983,0.9986331449 x1; 1.0005592808 x0 + -0.2962018107 x1 + -0.9998212690 x0**3
136,2026-04-28 18:30:38,duffing,Standard SINDy,0.02,Separate,STLSQ,True,0.21,0.985,gentle,middle,0.44776320457458496,1,1,0.243097364983676,0.11553697641462045,0.28717293325833676,0.11035542470866153,0.47323009800049853,0.06447543221515827,0.8714034557342529,-6.025439375734868,1.2288536125399658,0.9986331449 x1; 0.0000000000
136,2026-04-28 18:30:38,duffing,Standard PySR,0.02,Separate,STLSQ,True,0.21,0.985,gentle,middle,19.34355664253235,7,7,0.47642354581256513,0.07055462702945128,0.5000512510241535,0.07258687738244732,0.9505718312622855,0.006049860244529183,5.115714073181152,-8.247031798460684,0.5289801200570049,x1*cos(x0**2*0.04689925)**2; -x0**3 + x0
32,2026-04-28 18:31:25,duffing,AutoSINDy,0.03,Separate,STLSQ,True,0.21,0.985,gentle,middle,19.160127878189087,7,7,0.2930978736188923,0.15178447466118228,0.32480574049393796,0.1643742628228814,0.9999867550248749,1.6027555117025251e-06,0.809525728225708,0.9999012654526469,5.402617603241309e-06,0.9989832493 x1; 1.0021265535 x0 + -0.2988706844 x1 + -1.0013191186 x0**3
32,2026-04-28 18:31:25,duffing,Standard SINDy,0.03,Separate,STLSQ,True,0.21,0.985,gentle,middle,0.45326972007751465,11,11,0.2858637788701754,0.15397621645683138,0.306494551410289,0.17024606919748286,-177.00919334776836,21.78792127176658,0.8625986576080322,,,1.4631958720 x1 + -0.4721921447 1 sin(1 x1); 3.1711266387 x0^3 + -3.7269792334 x0^3 sin(1 x0)
32,2026-04-28 18:31:25,duffing,Standard PySR,0.03,Separate,STLSQ,True,0.21,0.985,gentle,middle,16.801105499267578,4,80,0.24454244437917672,0.16649369689008994,-798.8515648393585,115.8822307207415,-10.743930879232646,1.4371579426233299,5.692609071731567,-5.266221819377174,1.4980843457024804,x1 + (x1 + 0.53265446)**27; 0.962208 - x0
33,2026-04-28 18:32:23,duffing,AutoSINDy,0.03,Separate,STLSQ,True,0.21,0.985,gentle,middle,18.60387873649597,7,7,0.2964434009332734,0.14838819755634033,0.3278985783995773,0.16806249074146556,0.9999286000008525,8.730091518927834e-06,1.0868968963623047,0.9817861476080323,0.0011787802429182063,1.0002684888 x1; 0.9934738734 x0 + -0.2926045929 x1 + -0.9923454814 x0**3
33,2026-04-28 18:32:23,duffing,Standard SINDy,0.03,Separate,STLSQ,True,0.21,0.985,gentle,middle,0.45473790168762207,13,13,0.2706197487803176,0.15605275443445615,0.30002695941415325,0.1773311039006995,-127.00307669184592,15.667290168705504,1.4409139156341553,-20.72467882315695,3.43710933739252,0.9821321643 x1 + 0.0184476429 1 sin(1 x1); -3.1759921882 x0^3 sin(1 x0) + 2.7357425540 x0^3 cos(1 x1)
33,2026-04-28 18:32:23,duffing,Standard PySR,0.03,Separate,STLSQ,True,0.21,0.985,gentle,middle,19.924799919128418,5,5,0.24847232505870886,0.16262765485869962,0.27229147775371076,0.18650551079651,-10.73286718873165,1.4359642000112254,12.23102355003357,,,x0**18*x1**9 + x1; 0.9623792 - x0
34,2026-04-28 18:33:04,duffing,AutoSINDy,0.03,Separate,STLSQ,True,0.21,0.985,gentle,middle,18.726418018341064,8,8,0.29264618070363996,0.15503999101025775,0.3516585944958654,0.14416720124536953,0.9004656436599825,0.01218277114544206,0.882371187210083,-8.010666567184222,0.4487961214544206,0.9995420647 x1; 1.0015834912 x0 + -0.2895213714 x0*x1 + -1.0012507246 x0**3
34,2026-04-28 18:33:04,duffing,Standard SINDy,0.03,Separate,STLSQ,True,0.21,0.985,gentle,middle,0.46880626678466797,4,4,0.14469654171326762,0.2014735266570665,0.19544383097713408,0.1895071031857454,0.4732278767343481,0.06447567720090286,0.8923914432525635,-6.101908824608923,1.2589452521734708,1.0426412492 x1 + -0.0438426221 1 sin(1 x1); 0.0000000000
34,2026-04-28 18:33:04,duffing,Standard PySR,0.03,Separate,STLSQ,True,0.21,0.985,gentle,middle,15.620858669281006,5,29,0.24682807076087343,0.16942022472849766,0.26416984098810353,0.16628815364600066,-7031.788367629511,775.7954513349121,1.505722999572754,,,x1 - (x1**3 + x1)**9; 0.9624007 - x0
135,2026-04-28 20:28:59,duffing,AutoSINDy,0.03,Separate,STLSQ,True,0.21,0.985,gentle,middle,29.885035276412964,7,7,0.2964837705338219,0.15069311390121903,0.3395403722921857,0.14672653690111567,0.9999795080585678,2.4449472331937696e-06,0.9518585205078125,0.9998571973193138,8.455232052654539e-06,0.9974033296 x1; 0.9986518964 x0 + -0.2980998730 x1 + -0.9977420313 x0**3
135,2026-04-28 20:28:59,duffing,Standard SINDy,0.03,Separate,STLSQ,True,0.21,0.985,gentle,middle,0.49880337715148926,11,11,0.2892821354270858,0.1528929711239406,0.32011414352835216,0.1522784480935404,-175.7390515879459,21.632463559671294,0.8577501773834229,,,1.2021435663 x1 + -0.2082709825 1 sin(1 x1); 3.1595342238 x0^3 + -3.7131331520 x0^3 sin(1 x0)
135,2026-04-28 20:28:59,duffing,Standard PySR,0.03,Separate,STLSQ,True,0.21,0.985,gentle,middle,18.89348268508911,2,2,0.24894386087444725,0.165214017309537,0.26996532247134564,0.16659846802270956,-10.723559611432435,1.434937402414103,5.653028726577759,-13.043283654693713,1.794230634214291,x1*0.9974125; 0.96237755 - x0
